"","X.Rk","Year","Player","Pos","AV","School","College","Height","Wt","X40YD","Vertical","BenchReps","Broad.Jump","X3Cone","Shuttle","Drafted..tm.rnd.yr.."
"1","1",2017,"C.J. Beathard","QB",NA,"Iowa","College Stats","6-2",219,NA,31,NA,113,NA,NA,""
"2","2",2017,"Joshua Dobbs","QB",NA,"Tennessee","College Stats","6-3",216,4.64,33,NA,122,6.75,4.31,""
"3","3",2017,"Jerod Evans","QB",NA,"Virginia Tech","College Stats","6-3",232,4.8,26.5,NA,112,NA,4.41,""
"4","4",2017,"Brad Kaaya","QB",NA,"Miami (FL)","College Stats","6-4",214,NA,NA,NA,NA,NA,NA,""
"5","5",2017,"DeShone Kizer","QB",NA,"Notre Dame","College Stats","6-4",233,4.83,30.5,NA,107,7.4,4.53,""
"6","6",2017,"Trevor Knight","QB",NA,"Texas A&M","College Stats","6-1",219,4.54,35.5,NA,125,7.04,4.14,""
"7","7",2017,"Mitch Leidner","QB",NA,"Minnesota","College Stats","6-3",226,4.93,34.5,NA,123,6.96,4.25,""
"8","8",2017,"Sefo Liufau","QB",NA,"Colorado","College Stats","6-3",232,5.08,27,NA,105,7.32,4.45,""
"9","9",2017,"Patrick Mahomes","QB",NA,"Texas Tech","College Stats","6-2",225,4.8,30,NA,114,6.88,4.08,""
"10","10",2017,"Nathan Peterman","QB",NA,"Pittsburgh","College Stats","6-2",226,4.82,31,NA,110,7.14,4.31,""
"11","11",2017,"Cooper Rush","QB",NA,"Central Michigan","College Stats","6-3",228,4.93,27,NA,105,7.23,4.47,""
"12","12",2017,"Seth Russell","QB",NA,"Baylor","College Stats","6-3",213,NA,NA,NA,NA,NA,NA,""
"13","13",2017,"Mitchell Trubisky","QB",NA,"North Carolina","College Stats","6-2",222,4.67,27.5,NA,116,6.87,4.25,""
"14","14",2017,"Deshaun Watson","QB",NA,"Clemson","College Stats","6-2",221,4.66,32.5,NA,119,6.95,4.31,""
"15","15",2017,"Davis Webb","QB",NA,"California","College Stats","6-5",229,4.79,33,NA,118,6.92,4.21,""
"16","16",2016,"Carson Wentz","QB",10,"North Dakota St","","6-5",237,4.77,30.5,NA,118,6.86,4.15,"Philadelphia Eagles / 1st / 2nd pick / 2016"
"17","17",2016,"Nate Sudfeld","QB",NA,"Indiana","College Stats","6-6",234,5.02,29,NA,105,NA,NA,"Washington Redskins / 6th / 187th pick / 2016"
"18","18",2016,"Joel Stave","QB",NA,"Wisconsin","College Stats","6-5",236,4.8,33.5,NA,115,7.29,4.33,""
"19","19",2016,"Dak Prescott","QB",16,"Mississippi State","College Stats","6-2",226,4.79,32.5,NA,116,7.11,4.32,"Dallas Cowboys / 4th / 135th pick / 2016"
"20","20",2016,"Paxton Lynch","QB",1,"Memphis","College Stats","6-7",244,4.86,36,NA,118,7.14,4.26,"Denver Broncos / 1st / 26th pick / 2016"
"21","21",2016,"Cody Kessler","QB",3,"Southern California","College Stats","6-1",220,4.89,29.5,NA,104,7.32,4,"Cleveland Browns / 3rd / 93rd pick / 2016"
"22","22",2016,"Cardale Jones","QB",0,"Ohio State","College Stats","6-5",253,4.81,36,NA,NA,NA,NA,"Buffalo Bills / 4th / 139th pick / 2016"
"23","23",2016,"Kevin Hogan","QB",1,"Stanford","College Stats","6-3",218,4.78,32.5,NA,113,6.9,4.31,"Kansas City Chiefs / 5th / 162nd pick / 2016"
"24","24",2016,"Christian Hackenberg","QB",NA,"Penn State","College Stats","6-4",223,4.78,31,NA,114,7.04,4.33,"New York Jets / 2nd / 51st pick / 2016"
"25","25",2016,"Jared Goff","QB",-2,"California","College Stats","6-4",215,4.82,27,NA,110,7.17,4.47,"Los Angeles Rams / 1st / 1st pick / 2016"
"26","26",2016,"Jeff Driskel","QB",NA,"Louisiana Tech","College Stats","6-4",234,4.56,32,NA,122,7.19,4.25,"San Francisco 49ers / 6th / 207th pick / 2016"
"27","27",2016,"Brandon Doughty","QB",NA,"Western Kentucky","College Stats","6-3",213,5.22,27,NA,103,7.49,4.52,"Miami Dolphins / 7th / 223rd pick / 2016"
"28","28",2016,"Connor Cook","QB",0,"Michigan State","College Stats","6-4",217,4.79,33,NA,113,7.21,4.28,"Oakland Raiders / 4th / 100th pick / 2016"
"29","29",2016,"Brandon Allen","QB",NA,"Arkansas","College Stats","6-1",217,4.84,28,NA,110,7.06,4.33,"Jacksonville Jaguars / 6th / 201st pick / 2016"
"30","30",2016,"Vernon Adams","QB",NA,"Oregon","College Stats","5-11",200,4.83,29.5,NA,114,6.82,4.2,""
"31","31",2016,"Trevone Boykin","QB",NA,"Texas Christian","College Stats","6-0",212,4.77,32,NA,110,NA,4.4,""
"32","32",2016,"Jacoby Brissett","QB",NA,"North Carolina State","College Stats","6-4",231,4.94,31,NA,113,7.17,4.53,""
"33","33",2016,"Josh Woodrum","QB",NA,"Liberty","","6-3",231,4.8,31,NA,116,6.74,4.31,""
"34","34",2015,"Jameis Winston","QB",25,"Florida State","College Stats","6-4",231,4.97,28.5,NA,103,7.16,4.36,"Tampa Bay Buccaneers / 1st / 1st pick / 2015"
"35","35",2015,"Blake Sims","QB",NA,"Alabama","College Stats","5-11",218,4.57,30.5,NA,115,NA,NA,""
"36","36",2015,"Bryce Petty","QB",2,"Baylor","College Stats","6-3",230,4.87,34,NA,121,6.91,4.13,"New York Jets / 4th / 103rd pick / 2015"
"37","37",2015,"Marcus Mariota","QB",22,"Oregon","College Stats","6-4",222,4.52,36,NA,121,6.87,4.11,"Tennessee Titans / 1st / 2nd pick / 2015"
"38","38",2015,"Sean Mannion","QB",0,"Oregon State","College Stats","6-6",229,5.14,31,NA,105,7.29,4.39,"St. Louis Rams / 3rd / 89th pick / 2015"
"39","39",2015,"Brett Hundley","QB",0,"UCLA","College Stats","6-3",226,4.63,36,NA,120,6.93,3.98,"Green Bay Packers / 5th / 147th pick / 2015"
"40","40",2015,"Connor Halliday","QB",NA,"Washington State","College Stats","6-3",204,4.87,NA,NA,NA,NA,NA,""
"41","41",2015,"Garrett Grayson","QB",0,"Colorado State","College Stats","6-2",213,4.75,NA,NA,NA,NA,NA,"New Orleans Saints / 3rd / 75th pick / 2015"
"42","42",2015,"Cody Fajardo","QB",NA,"Nevada","College Stats","6-1",223,4.63,32.5,NA,118,6.95,4.1,""
"43","43",2015,"Shane Carden","QB",NA,"East Carolina","College Stats","6-2",218,4.94,29.5,NA,104,7.17,4.45,""
"44","44",2015,"Brandon Bridge","QB",NA,"South Alabama","College Stats","6-4",229,4.72,33,NA,110,7.18,4.37,""
"45","45",2015,"Anthony Boone","QB",NA,"Duke","College Stats","6-0",231,5.03,26.5,NA,100,7.47,4.62,""
"46","46",2015,"Bryan Bennett","QB",NA,"Southeastern Louisiana","","6-2",211,4.81,37,NA,125,7.13,4.2,""
"47","47",2015,"Jerry Lovelocke","QB",NA,"Prairie View A&M","","6-4",248,4.99,31.5,NA,113,7.3,4.51,""
"48","48",2014,"Keith Wenning","QB",NA,"Ball State","College Stats","6-3",218,5,28,NA,100,7.07,4.25,"Baltimore Ravens / 6th / 194th pick / 2014"
"49","49",2014,"Dustin Vaughan","QB",NA,"West Texas A&M","","6-5",235,4.95,29,NA,108,7.25,4.43,""
"50","50",2014,"Logan Thomas","QB",0,"Virginia Tech","College Stats","6-6",248,4.61,35.5,NA,118,7.05,4.18,"Arizona Cardinals / 4th / 120th pick / 2014"
"51","51",2014,"Connor Shaw","QB",0,"South Carolina","College Stats","6-0",206,4.66,34,NA,116,7.07,4.33,""
"52","52",2014,"Tom Savage","QB",1,"Pittsburgh","College Stats","6-4",228,4.97,27,NA,105,7.33,4.36,"Houston Texans / 4th / 135th pick / 2014"
"53","53",2014,"Bryn Renner","QB",NA,"North Carolina","College Stats","6-3",228,4.87,25.5,NA,108,7.22,4.3,""
"54","54",2014,"Aaron Murray","QB",NA,"Georgia","College Stats","6-0",207,4.84,NA,NA,NA,NA,NA,"Kansas City Chiefs / 5th / 163rd pick / 2014"
"55","55",2014,"Stephen Morris","QB",NA,"Miami (FL)","College Stats","6-2",213,4.63,30,NA,111,7.36,4.49,""
"56","56",2014,"Zach Mettenberger","QB",1,"LSU","College Stats","6-5",224,NA,NA,NA,NA,NA,NA,"Tennessee Titans / 6th / 178th pick / 2014"
"57","57",2014,"A.J. McCarron","QB",3,"Alabama","College Stats","6-3",220,4.94,28,NA,99,7.18,4.34,"Cincinnati Bengals / 5th / 164th pick / 2014"
"58","58",2014,"Johnny Manziel","QB",5,"Texas A&M","College Stats","6-0",207,4.68,31.5,NA,113,6.75,4.03,"Cleveland Browns / 1st / 22nd pick / 2014"
"59","59",2014,"Jordan Lynch","QB",NA,"Northern Illinois","College Stats","6-0",217,4.76,29.5,NA,109,6.55,4.2,""
"60","60",2014,"Jimmy Garoppolo","QB",3,"Eastern Illinois","","6-2",226,4.97,30.5,NA,110,7.04,4.26,"New England Patriots / 2nd / 62nd pick / 2014"
"61","61",2014,"David Fales","QB",0,"San Jose State","College Stats","6-2",212,4.99,28,NA,103,7.55,4.5,"Chicago Bears / 6th / 183rd pick / 2014"
"62","62",2014,"Derek Carr","QB",30,"Fresno State","College Stats","6-2",214,4.69,34.5,NA,110,NA,4.2,"Oakland Raiders / 2nd / 36th pick / 2014"
"63","63",2014,"Teddy Bridgewater","QB",22,"Louisville","College Stats","6-2",214,NA,30,NA,113,7.17,4.2,"Minnesota Vikings / 1st / 32nd pick / 2014"
"64","64",2014,"Tajh Boyd","QB",NA,"Clemson","College Stats","6-1",222,4.84,30.5,NA,106,7.33,4.23,"New York Jets / 6th / 213th pick / 2014"
"65","65",2014,"Blake Bortles","QB",29,"Central Florida","College Stats","6-5",232,4.93,32.5,NA,115,7.08,4.21,"Jacksonville Jaguars / 1st / 3rd pick / 2014"
"66","66",2014,"Jeff Mathews","QB",NA,"Cornell","","6-4",223,5.26,25.5,NA,105,7.14,4.36,""
"67","67",2013,"Tyler Wilson","QB",NA,"Arkansas","College Stats","6-2",215,4.95,28.5,NA,112,7.22,4.39,"Oakland Raiders / 4th / 112th pick / 2013"
"68","68",2013,"Brad Sorensen","QB",NA,"Southern Utah","","6-4",229,4.97,29,NA,112,7.17,4.55,"San Diego Chargers / 7th / 221st pick / 2013"
"69","69",2013,"Geno Smith","QB",15,"West Virginia","College Stats","6-2",218,4.58,33.5,NA,124,NA,NA,"New York Jets / 2nd / 39th pick / 2013"
"70","70",2013,"Matt Scott","QB",NA,"Arizona","College Stats","6-2",213,4.69,31,NA,118,6.69,3.99,""
"71","71",2013,"Sean Renfree","QB",0,"Duke","College Stats","6-3",219,4.76,NA,NA,NA,NA,NA,"Atlanta Falcons / 7th / 249th pick / 2013"
"72","72",2013,"Ryan Nassib","QB",0,"Syracuse","College Stats","6-2",227,5.06,28.5,NA,105,7.34,4.53,"New York Giants / 4th / 110th pick / 2013"
"73","73",2013,"E.J. Manuel","QB",10,"Florida State","College Stats","6-5",237,4.65,34,NA,118,7.08,4.21,"Buffalo Bills / 1st / 16th pick / 2013"
"74","74",2013,"Collin Klein","QB",NA,"Kansas State","College Stats","6-5",226,4.78,29,NA,111,7.17,4.4,""
"75","75",2013,"Landry Jones","QB",3,"Oklahoma","College Stats","6-4",225,5.11,31,NA,115,7.12,4.3,"Pittsburgh Steelers / 4th / 115th pick / 2013"
"76","76",2013,"MarQueis Gray","QB",2,"Minnesota","College Stats","6-3",240,4.65,30,15,111,7.25,4.3,""
"77","77",2013,"Mike Glennon","QB",11,"North Carolina State","College Stats","6-7",225,4.94,26.5,NA,102,7.49,4.52,"Tampa Bay Buccaneers / 3rd / 73rd pick / 2013"
"78","78",2013,"Zac Dysert","QB",NA,"Miami (OH)","College Stats","6-3",231,4.81,NA,NA,NA,NA,NA,"Denver Broncos / 7th / 234th pick / 2013"
"79","79",2013,"Colby Cameron","QB",NA,"Louisiana Tech","College Stats","6-2",212,4.78,30.5,NA,112,6.98,4.28,""
"80","80",2013,"Tyler Bray","QB",NA,"Tennessee","College Stats","6-6",232,5.05,NA,NA,100,7.2,4.51,""
"81","81",2013,"Matt Barkley","QB",2,"Southern California","College Stats","6-2",227,4.91,NA,NA,NA,NA,NA,"Philadelphia Eagles / 4th / 98th pick / 2013"
"82","82",2013,"James Vandenberg","QB",NA,"Iowa","College Stats","6-3",226,4.92,32,NA,116,6.95,4.52,""
"83","83",2012,"Russell Wilson","QB",84,"Wisconsin","College Stats","5-11",204,4.53,34,NA,118,6.97,4.09,"Seattle Seahawks / 3rd / 75th pick / 2012"
"84","84",2012,"Brandon Weeden","QB",15,"Oklahoma State","College Stats","6-3",221,4.89,NA,NA,NA,NA,NA,"Cleveland Browns / 1st / 22nd pick / 2012"
"85","85",2012,"Ryan Tannehill","QB",55,"Texas A&M","College Stats","6-4",221,4.65,NA,NA,NA,NA,NA,"Miami Dolphins / 1st / 8th pick / 2012"
"86","86",2012,"Brock Osweiler","QB",10,"Arizona State","College Stats","6-7",242,4.83,NA,NA,NA,NA,NA,"Denver Broncos / 2nd / 57th pick / 2012"
"87","87",2012,"Kellen Moore","QB",2,"Boise State","College Stats","6-0",197,4.82,27,NA,99,7.41,4.56,""
"88","88",2012,"Andrew Luck","QB",64,"Stanford","College Stats","6-4",234,4.59,36,NA,124,6.8,4.28,"Indianapolis Colts / 1st / 1st pick / 2012"
"89","89",2012,"Ryan Lindley","QB",-4,"San Diego State","College Stats","6-4",229,4.86,29.5,NA,108,7.52,4.45,"Arizona Cardinals / 6th / 185th pick / 2012"
"90","90",2012,"Case Keenum","QB",10,"Houston","College Stats","6-1",208,4.72,32.5,NA,103,NA,NA,""
"91","91",2012,"Chandler Harnish","QB",0,"Northern Illinois","College Stats","6-2",219,4.68,32.5,NA,112,6.78,4.15,"Indianapolis Colts / 7th / 253rd pick / 2012"
"92","92",2012,"Robert Griffin","QB",36,"Baylor","College Stats","6-2",223,4.33,39,NA,120,NA,NA,"Washington Redskins / 1st / 2nd pick / 2012"
"93","93",2012,"Nick Foles","QB",24,"Arizona","College Stats","6-5",243,5.03,30.5,NA,112,NA,NA,"Philadelphia Eagles / 3rd / 88th pick / 2012"
"94","94",2012,"Austin Davis","QB",6,"Southern Miss","College Stats","6-2",219,4.69,31,NA,109,6.73,4.11,""
"95","95",2012,"Kirk Cousins","QB",31,"Michigan State","College Stats","6-3",214,4.84,28.5,NA,109,7.05,4.5,"Washington Redskins / 4th / 102nd pick / 2012"
"96","96",2012,"B.J. Coleman","QB",0,"Chattanooga","","6-3",233,4.94,NA,NA,109,7.07,4.38,"Green Bay Packers / 7th / 243rd pick / 2012"
"97","97",2012,"Patrick Witt","QB",NA,"Yale","","6-3",225,5.06,31.5,NA,101,7.14,4.37,""
"98","98",2012,"Darron Thomas","QB",NA,"Oregon","College Stats","6-3",220,4.77,36,14,121,7.17,4.28,""
"99","99",2012,"Aaron Corp","QB",NA,"Richmond","","6-3",215,4.61,31.5,NA,106,7.03,4.3,""
"100","100",2012,"Jacory Harris","QB",NA,"Miami (FL)","College Stats","6-3",203,4.65,37,NA,113,7.1,4.4,""
"101","101",2012,"Jordan Jefferson","QB",NA,"LSU","College Stats","6-4",223,4.58,36.5,14,116,6.81,4.06,""
"102","102",2011,"T.J. Yates","QB",4,"North Carolina","College Stats","6-3",219,5.06,29.5,NA,104,6.96,4.12,"Houston Texans / 5th / 152nd pick / 2011"
"103","103",2011,"Scott Tolzien","QB",3,"Wisconsin","College Stats","6-2",212,4.92,29.5,NA,116,6.84,4.12,""
"104","104",2011,"Tyrod Taylor","QB",29,"Virginia Tech","College Stats","6-1",217,4.47,37.5,NA,126,6.78,4.09,"Baltimore Ravens / 6th / 180th pick / 2011"
"105","105",2011,"Ricky Stanzi","QB",0,"Iowa","College Stats","6-4",223,4.87,32.5,NA,110,6.95,4.43,"Kansas City Chiefs / 5th / 135th pick / 2011"
"106","106",2011,"Josh Portis","QB",NA,"California (PA)","","6-3",211,4.59,40,NA,126,6.84,4.12,""
"107","107",2011,"Christian Ponder","QB",23,"Florida State","College Stats","6-2",229,4.63,34,NA,116,6.85,4.09,"Minnesota Vikings / 1st / 12th pick / 2011"
"108","108",2011,"Cam Newton","QB",94,"Auburn","College Stats","6-5",248,4.56,35,NA,126,6.92,4.18,"Carolina Panthers / 1st / 1st pick / 2011"
"109","109",2011,"Greg McElroy","QB",1,"Alabama","College Stats","6-2",220,4.84,33,NA,107,7.11,4.45,"New York Jets / 7th / 208th pick / 2011"
"110","110",2011,"Ryan Mallett","QB",4,"Arkansas","College Stats","6-7",253,5.37,24,NA,103,NA,NA,"New England Patriots / 3rd / 74th pick / 2011"
"111","111",2011,"Jake Locker","QB",16,"Washington","College Stats","6-2",231,4.51,35,NA,120,6.77,4.12,"Tennessee Titans / 1st / 8th pick / 2011"
"112","112",2011,"Colin Kaepernick","QB",49,"Nevada","College Stats","6-5",233,4.53,32.5,NA,115,6.85,4.18,"San Francisco 49ers / 2nd / 36th pick / 2011"
"113","113",2011,"Jerrod Johnson","QB",NA,"Texas A&M","College Stats","6-5",251,4.75,29,NA,119,7.28,4.31,""
"114","114",2011,"Blaine Gabbert","QB",13,"Missouri","College Stats","6-4",234,4.61,33.5,NA,120,6.84,4.26,"Jacksonville Jaguars / 1st / 10th pick / 2011"
"115","115",2011,"Nathan Enderle","QB",NA,"Idaho","College Stats","6-4",240,5.12,25.5,NA,102,7.13,4.46,"Chicago Bears / 5th / 160th pick / 2011"
"116","116",2011,"Pat Devlin","QB",0,"Delaware","","6-3",225,4.81,33,NA,116,7.08,4.32,""
"117","117",2011,"Andy Dalton","QB",73,"TCU","College Stats","6-2",215,4.83,29.5,NA,106,6.93,4.27,"Cincinnati Bengals / 2nd / 35th pick / 2011"
"118","118",2011,"Jeff Van Camp","QB",NA,"Florida Atlantic","College Stats","6-5",218,4.83,31,NA,114,6.87,4.16,""
"119","119",2011,"Ryan Colburn","QB",NA,"Fresno State","College Stats","6-3",233,5.12,NA,NA,NA,6.84,4.28,""
"120","120",2010,"Tim Tebow","QB",12,"Florida","College Stats","6-3",236,4.71,38.5,NA,115,6.66,4.17,"Denver Broncos / 1st / 25th pick / 2010"
"121","121",2010,"John Skelton","QB",4,"Fordham","","6-5",243,4.85,33.5,NA,108,7.17,4.33,"Arizona Cardinals / 5th / 155th pick / 2010"
"122","122",2010,"Zac Robinson","QB",0,"Oklahoma State","College Stats","6-2",214,4.68,35,NA,110,7.24,4.4,"New England Patriots / 7th / 250th pick / 2010"
"123","123",2010,"Tony Pike","QB",0,"Cincinnati","College Stats","6-6",223,4.9,28.5,NA,108,7.06,4.53,"Carolina Panthers / 6th / 204th pick / 2010"
"124","124",2010,"Colt McCoy","QB",13,"Texas","College Stats","6-1",216,4.79,NA,NA,114,NA,NA,"Cleveland Browns / 3rd / 85th pick / 2010"
"125","125",2010,"Thaddeus Lewis","QB",4,"Duke","College Stats","6-0",215,4.84,28,NA,107,NA,NA,""
"126","126",2010,"Dan LeFevour","QB",NA,"Central Michigan","College Stats","6-3",230,4.6,29.5,NA,110,6.93,4.22,"Chicago Bears / 6th / 181st pick / 2010"
"127","127",2010,"Mike Kafka","QB",0,"Northwestern","College Stats","6-3",225,4.93,32,NA,110,6.96,4.37,"Philadelphia Eagles / 4th / 122nd pick / 2010"
"128","128",2010,"Max Hall","QB",1,"BYU","College Stats","6-1",209,4.84,32,NA,102,7.07,4.35,""
"129","129",2010,"Jimmy Clausen","QB",3,"Notre Dame","College Stats","6-3",222,4.76,NA,NA,NA,NA,NA,"Carolina Panthers / 2nd / 48th pick / 2010"
"130","130",2010,"Sean Canfield","QB",NA,"Oregon State","College Stats","6-4",223,4.93,29.5,NA,100,7.26,4.39,"New Orleans Saints / 7th / 239th pick / 2010"
"131","131",2010,"Levi Brown","QB",0,"Troy","College Stats","6-3",229,4.93,31.5,20,106,7.07,4.43,"Buffalo Bills / 7th / 209th pick / 2010"
"132","132",2010,"Jarrett Brown","QB",NA,"West Virginia","College Stats","6-3",224,4.5,34.5,NA,114,7.24,4.39,""
