"","Player","Score","Position"
"314","Aaron Brooks",8,"QB"
"128","Aaron Murray",20,"QB"
"39","Aaron Rodgers",26,"QB"
"155","Aaron Smith",18,"QB"
"173","Adrian Mcpherson",17,"QB"
"301","AJ Feeley",10,"QB"
"265","AJ McCarron",13,"QB"
"181","Akili Smith",17,"QB"
"164","Alex Brink",18,"QB"
"10","Alex Smith",32,"QB"
"290","Andre' Woodson",11,"QB"
"280","Andrew Hall",11,"QB"
"28","Andrew Luck",28,"QB"
"79","Andrew Walton",22,"QB"
"113","Andy Dalton",20,"QB"
"292","Anthony Boone",11,"QB"
"37","Anthony Dilweg",27,"QB"
"321","Anthony Wright",7,"QB"
"311","Antwaan Randle El",8,"QB"
"255","Bart Hendricks",13,"QB"
"189","Ben Dougherty",16,"QB"
"254","Ben Leard",13,"QB"
"184","Ben Roethlisberger",16,"QB"
"106","Bill Burke",21,"QB"
"122","Bill Musgrave",20,"QB"
"225","Billy Joe Tolliver",15,"QB"
"249","BJ Simons",13,"QB"
"4","Blaine Gabbert",34,"QB"
"129","Blake Bortles",19,"QB"
"342","Brad Banks",4,"QB"
"55","Brad Kaaya",25,"QB"
"212","Brad Smith",15,"QB"
"191","Bradley Van Pelt",16,"QB"
"111","Brady Quinn",20,"QB"
"152","Brandon Dillman",18,"QB"
"165","Brandon Weeden",18,"QB"
"244","Brett Farve",13,"QB"
"261","Brett Favre",13,"QB"
"172","Brett Hundley",17,"QB"
"76","Brian Brohm",23,"QB"
"120","Brian Cook Click",20,"QB"
"16","Brian Griese",30,"QB"
"299","Brian Randall",10,"QB"
"149","Brian St. Pierre",18,"QB"
"341","Brock Berlin",4,"QB"
"205","Brock Huard",16,"QB"
"201","Brock Osweiler",16,"QB"
"213","Brodie Croyle",15,"QB"
"132","Brooks Bollinger",19,"QB"
"7","Bruce Eugene",33,"QB"
"294","Bruce Gradkowski",10,"QB"
"90","Bryce Petty",22,"QB"
"192","Byron Leftwich",16,"QB"
"169","C.J. Beathard",17,"QB"
"136","Caitlin Down",19,"QB"
"266","Cam Newton",12,"QB"
"187","Cardale Jones",16,"QB"
"166","Carson Palmer",17,"QB"
"9","Carson Wentz",32,"QB"
"190","Casey Bramlett",16,"QB"
"281","Casey Clausen",11,"QB"
"248","Chad Henne",13,"QB"
"252","Chad Kelly",13,"QB"
"185","Chad Pennington",16,"QB"
"338","Charlie Batch",5,"QB"
"21","Charlie Frye",29,"QB"
"58","Charlie Whitehurst",24,"QB"
"256","Chris Chaloupka",13,"QB"
"160","Chris Greeson",18,"QB"
"352","Chris Leak",43,"QB"
"262","Chris Miller",13,"QB"
"320","Chris Redman",7,"QB"
"214","Chris Ricks",15,"QB"
"251","Chris Simms",13,"QB"
"115","Chris Weinke",20,"QB"
"222","Christian Hackenberg",15,"QB"
"41","Christian Ponder",26,"QB"
"31","Chuck Hartlieb",28,"QB"
"304","Cleo Lemon",9,"QB"
"86","Cody Fajardo",22,"QB"
"278","Cody Pickett",11,"QB"
"18","Colin Kaepernick",29,"QB"
"228","Colt Brennan",15,"QB"
"186","Colt McCoy",16,"QB"
"200","Connor Cook",16,"QB"
"89","Connor Halliday",22,"QB"
"242","Connor Shaw",14,"QB"
"53","Cory Pyles",25,"QB"
"22","Craig Crenzel",29,"QB"
"51","Craig Ochs",25,"QB"
"194","Dak Prescott",16,"QB"
"323","Dan Marino",7,"QB"
"171","Dan Orlovsky",17,"QB"
"101","Daniel Cobb",21,"QB"
"319","Dante Kanner",7,"QB"
"103","Darnell Kennedy",21,"QB"
"11","Darrell Hackney",32,"QB"
"302","Daunte Culpepper",9,"QB"
"235","Dave Bryant",14,"QB"
"81","Dave Ragone",22,"QB"
"220","David Carr",15,"QB"
"332","David Garrard",5,"QB"
"107","David Klingler",21,"QB"
"195","David Neal",16,"QB"
"157","David Rivers",18,"QB"
"197","Davis Webb",16,"QB"
"123","Dennis Dixon",20,"QB"
"297","Derek Anderson",10,"QB"
"277","Derek Carr",11,"QB"
"274","Deshaun Watson",11,"QB"
"140","Deshone Kizer",19,"QB"
"296","DJ Shockley",10,"QB"
"270","Don Makowski",12,"QB"
"336","Donovan Mcnabb",5,"QB"
"35","Drew Bledsoe",27,"QB"
"135","Drew Brees",19,"QB"
"5","Drew Henson",34,"QB"
"50","Drew Stanton",26,"QB"
"147","Dustin Long",18,"QB"
"285","Dylan Smith",11,"QB"
"141","EJ Manuel",19,"QB"
"14","Eli Manning",30,"QB"
"347","Ell Robertson",2,"QB"
"324","Elvis Grbac",7,"QB"
"219","Eric Crouch",15,"QB"
"303","Eric Meyer",9,"QB"
"263","Erik Ainge",13,"QB"
"291","Garrett Grayson",11,"QB"
"211","Geno Smith",15,"QB"
"134","George Godsey",19,"QB"
"98","Gino Guigudli",21,"QB"
"73","Giovanni Carmazza",23,"QB"
"67","Girbran Hamdan",23,"QB"
"240","Graham Harrell",14,"QB"
"257","Gramley",13,"QB"
"2","Greg McElroy",37,"QB"
"83","Greg Noll",22,"QB"
"236","Greg Zalman",14,"QB"
"322","Heath Shuler",7,"QB"
"8","Hugh Millen",33,"QB"
"94","Ingle Martin",21,"QB"
"209","Jacoby Brissett",15,"QB"
"276","Jake Locker",11,"QB"
"208","JaMarcus Russell",15,"QB"
"153","Jameis Winston",18,"QB"
"300","Jared Allen",10,"QB"
"32","Jared Goff",27,"QB"
"178","Jared Lorenzen",17,"QB"
"38","Jared Zabransky",27,"QB"
"305","Jarius Jackson",9,"QB"
"232","Jason Campbell",14,"QB"
"177","Jason Fife",17,"QB"
"36","Jason Garrett",27,"QB"
"151","Jason Guesser",18,"QB"
"3","Jason Maas",35,"QB"
"241","Jason Thomas",14,"QB"
"175","Jason White",17,"QB"
"167","Jay Cutler",17,"QB"
"315","Jeff Blake",8,"QB"
"117","Jeff Driskel",20,"QB"
"351","Jeff George",1,"QB"
"12","Jeff Matthews",32,"QB"
"271","Jeff Rowe",12,"QB"
"233","Jeff Smoker",14,"QB"
"273","Jerod Evans",12,"QB"
"70","Jesse Palmer",23,"QB"
"264","Jevan Snead",13,"QB"
"326","Jim Kelly",6,"QB"
"328","Jim Sorgi",6,"QB"
"231","Jimmy Clausen",14,"QB"
"124","Jimmy Garoppolo",20,"QB"
"146","Joe Flacco",18,"QB"
"306","Joe Hamilton",9,"QB"
"206","Joe Jermaine",16,"QB"
"68","Joey Jarrington",23,"QB"
"108","John Beck",21,"QB"
"337","John David Booty",5,"QB"
"48","John Dutton",26,"QB"
"112","John Elway",20,"QB"
"216","John Navarre",15,"QB"
"229","John Skelton",15,"QB"
"283","John Welsh",11,"QB"
"65","Johnny Manziel",23,"QB"
"287","Jonathan Beasley",11,"QB"
"154","Jonathan Smith",18,"QB"
"238","Jordan Palmer",14,"QB"
"59","Josh Betts",24,"QB"
"218","Josh Blankenship",15,"QB"
"158","Josh Booty",18,"QB"
"119","Josh Dobbs",20,"QB"
"145","Josh Freeman",18,"QB"
"95","Josh Haldi",21,"QB"
"203","Josh Harris",16,"QB"
"227","Josh Johnson",15,"QB"
"102","Josh Mccown",21,"QB"
"105","Josh Siple",21,"QB"
"77","Josh Woodrum",23,"QB"
"80","JP Losman",22,"QB"
"45","JT O'Sullivan",26,"QB"
"84","Justin Coleman",22,"QB"
"60","Justin Fuente",24,"QB"
"34","Justin Holland",27,"QB"
"239","Justin Rascati",14,"QB"
"131","Juston Wood",19,"QB"
"126","Keith Wenning",20,"QB"
"42","Kellen Clemens",26,"QB"
"174","Kellen Moore",17,"QB"
"162","Kelly Stouffer",18,"QB"
"193","Ken Dorsey",16,"QB"
"318","Kent Smith",7,"QB"
"75","Kevin Daft",23,"QB"
"307","Kevin Frederick",9,"QB"
"24","Kevin Hogan",29,"QB"
"138","Kevin Kolb",19,"QB"
"226","Kevin O'Connell",15,"QB"
"64","Kirk Cousins",24,"QB"
"150","Kirk Farmer",18,"QB"
"82","Kliff Kingsbury",22,"QB"
"339","Kordell Stewart",5,"QB"
"148","Kyle Boller",18,"QB"
"168","Kyle Orton",17,"QB"
"144","Landry Jones",19,"QB"
"125","Logan Thomas",20,"QB"
"289","Luke Getsy",11,"QB"
"215","Luke Mccown",15,"QB"
"179","Major Applewhite",17,"QB"
"116","Marc Bulger",20,"QB"
"63","Marcus Mariota",24,"QB"
"346","Marcus Smith",2,"QB"
"260","Mark Brunel",13,"QB"
"245","Mark Brunell",13,"QB"
"268","Mark Garcia",12,"QB"
"130","Mark Sanchez",19,"QB"
"30","Marques Hagans",28,"QB"
"224","Marquis Tuiasasopo",15,"QB"
"104","Matt Barkley",21,"QB"
"19","Matt Flynn",29,"QB"
"139","Matt Gutierrez",19,"QB"
"121","Matt Hasselbeck",20,"QB"
"298","Matt Jones",10,"QB"
"40","Matt Leinart",26,"QB"
"99","Matt Mauck",21,"QB"
"66","Matt Ryan",23,"QB"
"78","Matt Schaub",22,"QB"
"247","Matt Scott",13,"QB"
"17","Matthew Stafford",29,"QB"
"350","Michael Bishop",1,"QB"
"284","Michael Vick",11,"QB"
"61","Mike Elkins",24,"QB"
"183","Mike Glennon",17,"QB"
"156","Mike McMahon",18,"QB"
"259","Mike Took",13,"QB"
"198","Mitchell Trubisky",16,"QB"
"143","Nate Sudfeld",19,"QB"
"57","Nathan Peterman",24,"QB"
"343","Neil O'Donnell",4,"QB"
"118","Nick Foles",20,"QB"
"20","Omar Jacobs",29,"QB"
"335","Ortega Jenkins",5,"QB"
"356","Oscar Davenport",41,"QB"
"223","Patrick Mahomes",15,"QB"
"69","Patrick Ramsey",23,"QB"
"309","Paxton Lynch",9,"QB"
"137","Peyton Manning",19,"QB"
"92","Phillip Rivers",21,"QB"
"91","Quincy Carter",21,"QB"
"325","Randall Cunningham",6,"QB"
"196","Randy Fasani",16,"QB"
"340","Rasheed Marshall",4,"QB"
"293","Reggie Mcneal",10,"QB"
"267","Retton Mitchell",12,"QB"
"114","Rex Grossman",20,"QB"
"163","Rich Gannon",18,"QB"
"286","Richart Casey",11,"QB"
"87","Rick Mirer",22,"QB"
"93","Ricky Stanzi",21,"QB"
"230","Robert Griffin III",15,"QB"
"234","Robert Kent",14,"QB"
"310","Rod Rutherford",8,"QB"
"182","Rodney Peete",17,"QB"
"312","Rohan Davey",8,"QB"
"348","Romario Miller",2,"QB"
"253","Ronald Curry",13,"QB"
"142","Russell Wilson",19,"QB"
"1","Ryan Fitzpatrick",37,"QB"
"161","Ryan Leaf",18,"QB"
"46","Ryan lindley",26,"QB"
"282","Ryan Little",11,"QB"
"170","Ryan Mallett",17,"QB"
"6","Ryan Nassib",33,"QB"
"54","Ryan Tannehill",25,"QB"
"71","Sage Rosenfels",23,"QB"
"33","Sam Bradford",27,"QB"
"74","Sam Keenan",23,"QB"
"52","Sam Keller",25,"QB"
"269","Scott Covington",12,"QB"
"23","Scott Frost",29,"QB"
"250","Scott Mcmullen",13,"QB"
"221","Scott Mitchell",15,"QB"
"100","Scott Rislov",21,"QB"
"25","Scott Tolzien",29,"QB"
"288","Scott Tries Back",11,"QB"
"13","Sean Mannion",32,"QB"
"333","Seneca Wallace",5,"QB"
"133","Seth Burford",19,"QB"
"188","Shane Carden",16,"QB"
"202","Shane Griggs",16,"QB"
"199","Shaun Hill",16,"QB"
"207","Shaun King",16,"QB"
"204","Spurgeon Wynn",16,"QB"
"96","Stefan Lefors",21,"QB"
"49","Steve From",26,"QB"
"329","Steve Mcnair",6,"QB"
"62","Steve Young",24,"QB"
"295","Tarvaris Jackson",10,"QB"
"344","Ted White",3,"QB"
"275","Teddy Bridgewater",11,"QB"
"349","Tee Martin",2,"QB"
"354","Terrelle Pryor",42,"QB"
"330","Terry Bradshaw",6,"QB"
"258","Tim Couch",13,"QB"
"237","Tim Hasselbeck",14,"QB"
"180","Tim Lester",17,"QB"
"159","Tim Mckay",18,"QB"
"243","Tim Tebow",13,"QB"
"176","Timmy Chang",17,"QB"
"345","Tobi Karrode",3,"QB"
"85","Todd Bandhauer",22,"QB"
"15","Todd Husak",30,"QB"
"56","Tom Brady",24,"QB"
"127","Tom Savage",20,"QB"
